Rule,Utilitarian Ratio,Representation Ratio,Raw Representation Score,EJR Score,JR Score,PJR Score
av,0.949,0.981,98.08,1.0,1.0,1.0
cc,0.723,1.0,100.0,0.61,1.0,0.76
seqcc,0.729,1.0,99.98,0.99,1.0,0.99
rule-x,0.94,0.985,98.55,1.0,1.0,1.0
minimaxav,0.855,1.0,100.0,1.0,1.0,1.0
sav,0.949,0.981,98.08,1.0,1.0,1.0
slav,0.941,0.986,98.65,1.0,1.0,1.0
pav,0.946,0.984,98.44,1.0,1.0,1.0
seqpav,0.946,0.984,98.4,1.0,1.0,1.0
geom1.5,0.944,0.984,98.38,1.0,1.0,1.0
geom2,0.924,0.99,98.98,1.0,1.0,1.0
geom5,0.885,1.0,99.97,1.0,1.0,1.0
monroe,0.861,0.999,99.94,1.0,1.0,1.0
